oper_desc,oper_id,oper_seq,lot_code
"Wet Clean - Pre Clean 01","WET-001","1","DEMO-ROUTE-01"
"Photolithography - Coat 01","PHOTO-002","2","DEMO-ROUTE-01"
"Etch - Expose 01","ETCH-003","3","DEMO-ROUTE-01"
"Strip & Ash - Develop 01","STRIP-004","4","DEMO-ROUTE-01"
"CVD Deposition - Main 01","CVD-005","5","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 01","PVD-006","6","DEMO-ROUTE-01"
"Diffusion - Deposition 01","DIFF-007","7","DEMO-ROUTE-01"
"Ion Implant - Anneal 01","IMPL-008","8","DEMO-ROUTE-01"
"CMP - Measure 01","CMP-009","9","DEMO-ROUTE-01"
"Metrology - Inspect 01","MET-010","10","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 02","WET-011","11","DEMO-ROUTE-01"
"Photolithography - Coat 02","PHOTO-012","12","DEMO-ROUTE-01"
"Etch - Expose 02","ETCH-013","13","DEMO-ROUTE-01"
"Strip & Ash - Develop 02","STRIP-014","14","DEMO-ROUTE-01"
"CVD Deposition - Main 02","CVD-015","15","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 02","PVD-016","16","DEMO-ROUTE-01"
"Diffusion - Deposition 02","DIFF-017","17","DEMO-ROUTE-01"
"Ion Implant - Anneal 02","IMPL-018","18","DEMO-ROUTE-01"
"CMP - Measure 02","CMP-019","19","DEMO-ROUTE-01"
"Metrology - Inspect 02","MET-020","20","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 03","WET-021","21","DEMO-ROUTE-01"
"Photolithography - Coat 03","PHOTO-022","22","DEMO-ROUTE-01"
"Etch - Expose 03","ETCH-023","23","DEMO-ROUTE-01"
"Strip & Ash - Develop 03","STRIP-024","24","DEMO-ROUTE-01"
"CVD Deposition - Main 03","CVD-025","25","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 03","PVD-026","26","DEMO-ROUTE-01"
"Diffusion - Deposition 03","DIFF-027","27","DEMO-ROUTE-01"
"Ion Implant - Anneal 03","IMPL-028","28","DEMO-ROUTE-01"
"CMP - Measure 03","CMP-029","29","DEMO-ROUTE-01"
"Metrology - Inspect 03","MET-030","30","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 04","WET-031","31","DEMO-ROUTE-01"
"Photolithography - Coat 04","PHOTO-032","32","DEMO-ROUTE-01"
"Etch - Expose 04","ETCH-033","33","DEMO-ROUTE-01"
"Strip & Ash - Develop 04","STRIP-034","34","DEMO-ROUTE-01"
"CVD Deposition - Main 04","CVD-035","35","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 04","PVD-036","36","DEMO-ROUTE-01"
"Diffusion - Deposition 04","DIFF-037","37","DEMO-ROUTE-01"
"Ion Implant - Anneal 04","IMPL-038","38","DEMO-ROUTE-01"
"CMP - Measure 04","CMP-039","39","DEMO-ROUTE-01"
"Metrology - Inspect 04","MET-040","40","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 05","WET-041","41","DEMO-ROUTE-01"
"Photolithography - Coat 05","PHOTO-042","42","DEMO-ROUTE-01"
"Etch - Expose 05","ETCH-043","43","DEMO-ROUTE-01"
"Strip & Ash - Develop 05","STRIP-044","44","DEMO-ROUTE-01"
"CVD Deposition - Main 05","CVD-045","45","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 05","PVD-046","46","DEMO-ROUTE-01"
"Diffusion - Deposition 05","DIFF-047","47","DEMO-ROUTE-01"
"Ion Implant - Anneal 05","IMPL-048","48","DEMO-ROUTE-01"
"CMP - Measure 05","CMP-049","49","DEMO-ROUTE-01"
"Metrology - Inspect 05","MET-050","50","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 06","WET-051","51","DEMO-ROUTE-01"
"Photolithography - Coat 06","PHOTO-052","52","DEMO-ROUTE-01"
"Etch - Expose 06","ETCH-053","53","DEMO-ROUTE-01"
"Strip & Ash - Develop 06","STRIP-054","54","DEMO-ROUTE-01"
"CVD Deposition - Main 06","CVD-055","55","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 06","PVD-056","56","DEMO-ROUTE-01"
"Diffusion - Deposition 06","DIFF-057","57","DEMO-ROUTE-01"
"Ion Implant - Anneal 06","IMPL-058","58","DEMO-ROUTE-01"
"CMP - Measure 06","CMP-059","59","DEMO-ROUTE-01"
"Metrology - Inspect 06","MET-060","60","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 07","WET-061","61","DEMO-ROUTE-01"
"Photolithography - Coat 07","PHOTO-062","62","DEMO-ROUTE-01"
"Etch - Expose 07","ETCH-063","63","DEMO-ROUTE-01"
"Strip & Ash - Develop 07","STRIP-064","64","DEMO-ROUTE-01"
"CVD Deposition - Main 07","CVD-065","65","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 07","PVD-066","66","DEMO-ROUTE-01"
"Diffusion - Deposition 07","DIFF-067","67","DEMO-ROUTE-01"
"Ion Implant - Anneal 07","IMPL-068","68","DEMO-ROUTE-01"
"CMP - Measure 07","CMP-069","69","DEMO-ROUTE-01"
"Metrology - Inspect 07","MET-070","70","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 08","WET-071","71","DEMO-ROUTE-01"
"Photolithography - Coat 08","PHOTO-072","72","DEMO-ROUTE-01"
"Etch - Expose 08","ETCH-073","73","DEMO-ROUTE-01"
"Strip & Ash - Develop 08","STRIP-074","74","DEMO-ROUTE-01"
"CVD Deposition - Main 08","CVD-075","75","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 08","PVD-076","76","DEMO-ROUTE-01"
"Diffusion - Deposition 08","DIFF-077","77","DEMO-ROUTE-01"
"Ion Implant - Anneal 08","IMPL-078","78","DEMO-ROUTE-01"
"CMP - Measure 08","CMP-079","79","DEMO-ROUTE-01"
"Metrology - Inspect 08","MET-080","80","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 09","WET-081","81","DEMO-ROUTE-01"
"Photolithography - Coat 09","PHOTO-082","82","DEMO-ROUTE-01"
"Etch - Expose 09","ETCH-083","83","DEMO-ROUTE-01"
"Strip & Ash - Develop 09","STRIP-084","84","DEMO-ROUTE-01"
"CVD Deposition - Main 09","CVD-085","85","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 09","PVD-086","86","DEMO-ROUTE-01"
"Diffusion - Deposition 09","DIFF-087","87","DEMO-ROUTE-01"
"Ion Implant - Anneal 09","IMPL-088","88","DEMO-ROUTE-01"
"CMP - Measure 09","CMP-089","89","DEMO-ROUTE-01"
"Metrology - Inspect 09","MET-090","90","DEMO-ROUTE-01"
"Wet Clean - Pre Clean 10","WET-091","91","DEMO-ROUTE-01"
"Photolithography - Coat 10","PHOTO-092","92","DEMO-ROUTE-01"
"Etch - Expose 10","ETCH-093","93","DEMO-ROUTE-01"
"Strip & Ash - Develop 10","STRIP-094","94","DEMO-ROUTE-01"
"CVD Deposition - Main 10","CVD-095","95","DEMO-ROUTE-01"
"PVD Deposition - Post Clean 10","PVD-096","96","DEMO-ROUTE-01"
"Diffusion - Deposition 10","DIFF-097","97","DEMO-ROUTE-01"
"Ion Implant - Anneal 10","IMPL-098","98","DEMO-ROUTE-01"
"CMP - Measure 10","CMP-099","99","DEMO-ROUTE-01"
"Metrology - Inspect 10","MET-100","100","DEMO-ROUTE-01"
