lot_id,lot_code,event_time,oper_desc,event_code
"LOT-A-0001","DRAM-A-0001","2026-09-11T00:00:00.000Z","Wet Clean - Pre Clean 01","hold"
"LOT-A-0002","NAND-A-0002","2026-09-11T00:00:00.000Z","Wet Clean - Pre Clean 01","wait"
"LOT-A-0003","LOGIC-A-0003","2026-09-11T00:00:00.000Z","Wet Clean - Pre Clean 01","wait"
"LOT-A-0004","CIS-A-0004","2026-09-11T00:00:00.000Z","Photolithography - Coat 01","proc"
"LOT-A-0005","DRAM-A-0005","2026-09-11T00:00:00.000Z","Etch - Expose 01","job start"
"LOT-A-0006","NAND-A-0006","2026-09-11T00:00:00.000Z","CVD Deposition - Main 01","wait"
"LOT-A-0007","LOGIC-A-0007","2026-09-11T00:00:00.000Z","Strip & Ash - Develop 01","job start"
"LOT-A-0008","CIS-A-0008","2026-09-11T00:00:00.000Z","Metrology - Inspect 01","proc"
"LOT-A-0009","DRAM-A-0009","2026-09-11T00:00:00.000Z","Strip & Ash - Develop 01","proc"
"LOT-A-0010","NAND-A-0010","2026-09-11T00:00:00.000Z","Diffusion - Deposition 01","job start"
"LOT-A-0011","LOGIC-A-0011","2026-09-11T00:00:00.000Z","Ion Implant - Anneal 01","proc"
"LOT-A-0012","CIS-A-0012","2026-09-11T00:00:00.000Z","Strip & Ash - Develop 02","job start"
"LOT-A-0013","DRAM-A-0013","2026-09-11T00:00:00.000Z","Metrology - Inspect 01","job start"
"LOT-A-0014","NAND-A-0014","2026-09-11T00:00:00.000Z","Ion Implant - Anneal 01","job start"
"LOT-A-0015","LOGIC-A-0015","2026-09-11T00:00:00.000Z","Photolithography - Coat 02","wait"
"LOT-A-0016","CIS-A-0016","2026-09-11T00:00:00.000Z","Etch - Expose 02","job start"
"LOT-A-0017","DRAM-A-0017","2026-09-11T00:00:00.000Z","Photolithography - Coat 02","proc"
"LOT-A-0018","NAND-A-0018","2026-09-11T00:00:00.000Z","Photolithography - Coat 02","hold"
"LOT-A-0019","LOGIC-A-0019","2026-09-11T00:00:00.000Z","Ion Implant - Anneal 02","wait"
"LOT-A-0020","CIS-A-0020","2026-09-11T00:00:00.000Z","Metrology - Inspect 02","proc"
"LOT-A-0021","DRAM-A-0021","2026-09-11T00:00:00.000Z","CMP - Measure 02","wait"
"LOT-A-0022","NAND-A-0022","2026-09-11T00:00:00.000Z","Photolithography - Coat 03","wait"
"LOT-A-0023","LOGIC-A-0023","2026-09-11T00:00:00.000Z","Ion Implant - Anneal 02","proc"
"LOT-A-0024","CIS-A-0024","2026-09-11T00:00:00.000Z","Wet Clean - Pre Clean 03","job start"
"LOT-A-0025","DRAM-A-0025","2026-09-11T00:00:00.000Z","Wet Clean - Pre Clean 03","wait"
"LOT-A-0026","NAND-A-0026","2026-09-11T00:00:00.000Z","Strip & Ash - Develop 03","proc"
"LOT-A-0027","LOGIC-A-0027","2026-09-11T00:00:00.000Z","Metrology - Inspect 02","wait"
"LOT-A-0028","CIS-A-0028","2026-09-11T00:00:00.000Z","Etch - Expose 03","proc"
"LOT-A-0029","DRAM-A-0029","2026-09-11T00:00:00.000Z","Etch - Expose 03","proc"
"LOT-A-0030","NAND-A-0030","2026-09-11T00:00:00.000Z","Strip & Ash - Develop 03","job start"
"LOT-A-0031","LOGIC-A-0031","2026-09-11T00:00:00.000Z","CVD Deposition - Main 03","job start"
"LOT-A-0032","CIS-A-0032","2026-09-11T00:00:00.000Z","Etch - Expose 04","wait"
"LOT-A-0033","DRAM-A-0033","2026-09-11T00:00:00.000Z","Metrology - Inspect 03","proc"
"LOT-A-0034","NAND-A-0034","2026-09-11T00:00:00.000Z","Wet Clean - Pre Clean 04","wait"
"LOT-A-0035","LOGIC-A-0035","2026-09-11T00:00:00.000Z","CMP - Measure 03","hold"
"LOT-A-0036","CIS-A-0036","2026-09-11T00:00:00.000Z","Strip & Ash - Develop 04","wait"
"LOT-A-0037","DRAM-A-0037","2026-09-11T00:00:00.000Z","Diffusion - Deposition 04","job start"
"LOT-A-0038","NAND-A-0038","2026-09-11T00:00:00.000Z","Wet Clean - Pre Clean 04","proc"
"LOT-A-0039","LOGIC-A-0039","2026-09-11T00:00:00.000Z","Etch - Expose 04","job start"
"LOT-A-0040","CIS-A-0040","2026-09-11T00:00:00.000Z","PVD Deposition - Post Clean 04","job start"
"LOT-A-0041","DRAM-A-0041","2026-09-11T00:00:00.000Z","PVD Deposition - Post Clean 04","wait"
"LOT-A-0042","NAND-A-0042","2026-09-11T00:00:00.000Z","CVD Deposition - Main 04","job start"
"LOT-A-0043","LOGIC-A-0043","2026-09-11T00:00:00.000Z","CVD Deposition - Main 04","proc"
"LOT-A-0044","CIS-A-0044","2026-09-11T00:00:00.000Z","CMP - Measure 04","wait"
