lot_id,lot_code,event_time,oper_desc,event_code
"LOT-B-0075","LOGIC-B-0075","2026-09-02T13:00:00.000Z","PVD Deposition - Post Clean 06","wait"
"LOT-B-0069","DRAM-B-0069","2026-09-02T14:00:00.000Z","PVD Deposition - Post Clean 05","wait"
"LOT-B-0075","LOGIC-B-0075","2026-09-02T14:00:00.000Z","PVD Deposition - Post Clean 06","job start"
"LOT-B-0082","NAND-B-0082","2026-09-02T15:00:00.000Z","Photolithography - Coat 07","wait"
"LOT-B-0069","DRAM-B-0069","2026-09-02T16:00:00.000Z","PVD Deposition - Post Clean 05","job start"
"LOT-B-0069","DRAM-B-0069","2026-09-02T17:00:00.000Z","PVD Deposition - Post Clean 05","proc"
"LOT-B-0082","NAND-B-0082","2026-09-02T17:00:00.000Z","Photolithography - Coat 07","job start"
"LOT-B-0062","NAND-B-0062","2026-09-02T18:00:00.000Z","Strip & Ash - Develop 05","wait"
"LOT-B-0082","NAND-B-0082","2026-09-02T18:00:00.000Z","Photolithography - Coat 07","proc"
"LOT-B-0062","NAND-B-0062","2026-09-02T19:00:00.000Z","Strip & Ash - Develop 05","job start"
"LOT-B-0075","LOGIC-B-0075","2026-09-02T19:00:00.000Z","PVD Deposition - Post Clean 06","proc"
"LOT-A-0024","CIS-A-0024","2026-09-02T20:00:00.000Z","Ion Implant - Anneal 01","wait"
"LOT-B-0069","DRAM-B-0069","2026-09-02T20:00:00.000Z","PVD Deposition - Post Clean 05","job end"
"LOT-A-0024","CIS-A-0024","2026-09-02T21:00:00.000Z","Ion Implant - Anneal 01","job start"
"LOT-B-0062","NAND-B-0062","2026-09-02T21:00:00.000Z","Strip & Ash - Develop 05","proc"
"LOT-B-0082","NAND-B-0082","2026-09-02T21:00:00.000Z","Photolithography - Coat 07","job end"
"LOT-B-0064","CIS-B-0064","2026-09-02T22:00:00.000Z","Photolithography - Coat 05","wait"
"LOT-B-0075","LOGIC-B-0075","2026-09-02T22:00:00.000Z","PVD Deposition - Post Clean 06","job end"
"LOT-A-0028","CIS-A-0028","2026-09-02T23:00:00.000Z","Metrology - Inspect 01","wait"
"LOT-B-0062","NAND-B-0062","2026-09-02T23:00:00.000Z","Strip & Ash - Develop 05","job end"
"LOT-B-0094","NAND-B-0094","2026-09-02T23:00:00.000Z","PVD Deposition - Post Clean 08","wait"
"LOT-A-0028","CIS-A-0028","2026-09-03T00:00:00.000Z","Metrology - Inspect 01","job start"
"LOT-B-0064","CIS-B-0064","2026-09-03T01:00:00.000Z","Photolithography - Coat 05","job start"
"LOT-B-0069","DRAM-B-0069","2026-09-03T01:00:00.000Z","Diffusion - Deposition 05","wait"
"LOT-A-0024","CIS-A-0024","2026-09-03T02:00:00.000Z","Ion Implant - Anneal 01","proc"
"LOT-A-0045","DRAM-A-0045","2026-09-03T02:00:00.000Z","CVD Deposition - Main 03","wait"
"LOT-B-0078","NAND-B-0078","2026-09-03T02:00:00.000Z","CVD Deposition - Main 06","wait"
"LOT-B-0094","NAND-B-0094","2026-09-03T02:00:00.000Z","PVD Deposition - Post Clean 08","job start"
"LOT-A-0048","CIS-A-0048","2026-09-03T03:00:00.000Z","Ion Implant - Anneal 03","wait"
"LOT-B-0051","LOGIC-B-0051","2026-09-03T03:00:00.000Z","Strip & Ash - Develop 04","wait"
"LOT-B-0064","CIS-B-0064","2026-09-03T03:00:00.000Z","Photolithography - Coat 05","proc"
"LOT-B-0065","DRAM-B-0065","2026-09-03T03:00:00.000Z","Strip & Ash - Develop 05","wait"
"LOT-B-0082","NAND-B-0082","2026-09-03T03:00:00.000Z","Etch - Expose 07","wait"
"LOT-B-0094","NAND-B-0094","2026-09-03T03:00:00.000Z","PVD Deposition - Post Clean 08","proc"
"LOT-A-0028","CIS-A-0028","2026-09-03T04:00:00.000Z","Metrology - Inspect 01","proc"
"LOT-B-0051","LOGIC-B-0051","2026-09-03T04:00:00.000Z","Strip & Ash - Develop 04","job start"
"LOT-B-0055","LOGIC-B-0055","2026-09-03T04:00:00.000Z","Wet Clean - Pre Clean 05","wait"
"LOT-B-0069","DRAM-B-0069","2026-09-03T04:00:00.000Z","Diffusion - Deposition 05","hold"
"LOT-B-0078","NAND-B-0078","2026-09-03T04:00:00.000Z","CVD Deposition - Main 06","job start"
"LOT-A-0024","CIS-A-0024","2026-09-03T05:00:00.000Z","Ion Implant - Anneal 01","job end"
"LOT-A-0028","CIS-A-0028","2026-09-03T05:00:00.000Z","Metrology - Inspect 01","job end"
"LOT-A-0030","NAND-A-0030","2026-09-03T05:00:00.000Z","Wet Clean - Pre Clean 02","wait"
"LOT-B-0055","LOGIC-B-0055","2026-09-03T05:00:00.000Z","Wet Clean - Pre Clean 05","job start"
"LOT-B-0064","CIS-B-0064","2026-09-03T05:00:00.000Z","Photolithography - Coat 05","job end"
"LOT-B-0068","CIS-B-0068","2026-09-03T05:00:00.000Z","Ion Implant - Anneal 05","wait"
"LOT-B-0078","NAND-B-0078","2026-09-03T05:00:00.000Z","CVD Deposition - Main 06","proc"
"LOT-B-0094","NAND-B-0094","2026-09-03T05:00:00.000Z","PVD Deposition - Post Clean 08","job end"
"LOT-A-0045","DRAM-A-0045","2026-09-03T06:00:00.000Z","CVD Deposition - Main 03","hold"
"LOT-A-0048","CIS-A-0048","2026-09-03T06:00:00.000Z","Ion Implant - Anneal 03","job start"
"LOT-B-0051","LOGIC-B-0051","2026-09-03T06:00:00.000Z","Strip & Ash - Develop 04","proc"
"LOT-B-0065","DRAM-B-0065","2026-09-03T06:00:00.000Z","Strip & Ash - Develop 05","job start"
"LOT-B-0075","LOGIC-B-0075","2026-09-03T06:00:00.000Z","Diffusion - Deposition 06","wait"
"LOT-B-0082","NAND-B-0082","2026-09-03T06:00:00.000Z","Etch - Expose 07","job start"
"LOT-B-0084","CIS-B-0084","2026-09-03T06:00:00.000Z","PVD Deposition - Post Clean 07","wait"
"LOT-B-0087","LOGIC-B-0087","2026-09-03T06:00:00.000Z","PVD Deposition - Post Clean 07","wait"
"LOT-A-0028","CIS-A-0028","2026-09-03T07:00:00.000Z","Wet Clean - Pre Clean 02","wait"
"LOT-A-0030","NAND-A-0030","2026-09-03T07:00:00.000Z","Wet Clean - Pre Clean 02","job start"
"LOT-B-0051","LOGIC-B-0051","2026-09-03T07:00:00.000Z","Strip & Ash - Develop 04","job end"
"LOT-B-0062","NAND-B-0062","2026-09-03T07:00:00.000Z","CVD Deposition - Main 05","wait"
"LOT-B-0069","DRAM-B-0069","2026-09-03T07:00:00.000Z","Diffusion - Deposition 05","job start"
"LOT-A-0024","CIS-A-0024","2026-09-03T08:00:00.000Z","CMP - Measure 01","wait"
"LOT-A-0028","CIS-A-0028","2026-09-03T08:00:00.000Z","Wet Clean - Pre Clean 02","job start"
"LOT-A-0030","NAND-A-0030","2026-09-03T08:00:00.000Z","Wet Clean - Pre Clean 02","proc"
"LOT-A-0045","DRAM-A-0045","2026-09-03T08:00:00.000Z","CVD Deposition - Main 03","job start"
"LOT-B-0075","LOGIC-B-0075","2026-09-03T08:00:00.000Z","Diffusion - Deposition 06","job start"
"LOT-B-0077","DRAM-B-0077","2026-09-03T08:00:00.000Z","Photolithography - Coat 07","wait"
"LOT-B-0078","NAND-B-0078","2026-09-03T08:00:00.000Z","CVD Deposition - Main 06","job end"
"LOT-B-0082","NAND-B-0082","2026-09-03T08:00:00.000Z","Etch - Expose 07","proc"
"LOT-B-0090","NAND-B-0090","2026-09-03T08:00:00.000Z","CMP - Measure 07","wait"
"LOT-B-0100","CIS-B-0100","2026-09-03T08:00:00.000Z","Wet Clean - Pre Clean 09","wait"
"LOT-A-0030","NAND-A-0030","2026-09-03T09:00:00.000Z","Wet Clean - Pre Clean 02","job end"
"LOT-A-0045","DRAM-A-0045","2026-09-03T09:00:00.000Z","CVD Deposition - Main 03","proc"
"LOT-B-0082","NAND-B-0082","2026-09-03T09:00:00.000Z","Etch - Expose 07","job end"
"LOT-B-0084","CIS-B-0084","2026-09-03T09:00:00.000Z","PVD Deposition - Post Clean 07","job start"
"LOT-B-0087","LOGIC-B-0087","2026-09-03T09:00:00.000Z","PVD Deposition - Post Clean 07","job start"
"LOT-A-0025","DRAM-A-0025","2026-09-03T10:00:00.000Z","Ion Implant - Anneal 01","wait"
"LOT-A-0028","CIS-A-0028","2026-09-03T10:00:00.000Z","Wet Clean - Pre Clean 02","proc"
"LOT-B-0055","LOGIC-B-0055","2026-09-03T10:00:00.000Z","Wet Clean - Pre Clean 05","proc"
"LOT-B-0058","NAND-B-0058","2026-09-03T10:00:00.000Z","Metrology - Inspect 04","wait"
"LOT-B-0062","NAND-B-0062","2026-09-03T10:00:00.000Z","CVD Deposition - Main 05","job start"
"LOT-B-0065","DRAM-B-0065","2026-09-03T10:00:00.000Z","Strip & Ash - Develop 05","proc"
"LOT-B-0068","CIS-B-0068","2026-09-03T10:00:00.000Z","Ion Implant - Anneal 05","hold"
"LOT-B-0069","DRAM-B-0069","2026-09-03T10:00:00.000Z","Diffusion - Deposition 05","proc"
"LOT-B-0072","CIS-B-0072","2026-09-03T10:00:00.000Z","PVD Deposition - Post Clean 06","wait"
"LOT-B-0090","NAND-B-0090","2026-09-03T10:00:00.000Z","CMP - Measure 07","job start"
"LOT-B-0100","CIS-B-0100","2026-09-03T10:00:00.000Z","Wet Clean - Pre Clean 09","job start"
"LOT-A-0022","NAND-A-0022","2026-09-03T11:00:00.000Z","CMP - Measure 01","wait"
"LOT-A-0024","CIS-A-0024","2026-09-03T11:00:00.000Z","CMP - Measure 01","job start"
"LOT-A-0026","NAND-A-0026","2026-09-03T11:00:00.000Z","Wet Clean - Pre Clean 02","wait"
"LOT-A-0027","LOGIC-A-0027","2026-09-03T11:00:00.000Z","Diffusion - Deposition 01","wait"
"LOT-A-0041","DRAM-A-0041","2026-09-03T11:00:00.000Z","Etch - Expose 03","wait"
"LOT-A-0045","DRAM-A-0045","2026-09-03T11:00:00.000Z","CVD Deposition - Main 03","job end"
"LOT-A-0048","CIS-A-0048","2026-09-03T11:00:00.000Z","Ion Implant - Anneal 03","proc"
"LOT-A-0050","NAND-A-0050","2026-09-03T11:00:00.000Z","CMP - Measure 03","wait"
"LOT-B-0062","NAND-B-0062","2026-09-03T11:00:00.000Z","CVD Deposition - Main 05","proc"
"LOT-B-0072","CIS-B-0072","2026-09-03T11:00:00.000Z","PVD Deposition - Post Clean 06","job start"
"LOT-B-0075","LOGIC-B-0075","2026-09-03T11:00:00.000Z","Diffusion - Deposition 06","proc"
"LOT-B-0077","DRAM-B-0077","2026-09-03T11:00:00.000Z","Photolithography - Coat 07","hold"
"LOT-B-0080","CIS-B-0080","2026-09-03T11:00:00.000Z","Metrology - Inspect 06","wait"
"LOT-A-0020","CIS-A-0020","2026-09-03T12:00:00.000Z","Diffusion - Deposition 01","wait"
"LOT-A-0024","CIS-A-0024","2026-09-03T12:00:00.000Z","CMP - Measure 01","proc"
"LOT-A-0025","DRAM-A-0025","2026-09-03T12:00:00.000Z","Ion Implant - Anneal 01","job start"
"LOT-A-0026","NAND-A-0026","2026-09-03T12:00:00.000Z","Wet Clean - Pre Clean 02","job start"
"LOT-A-0035","LOGIC-A-0035","2026-09-03T12:00:00.000Z","PVD Deposition - Post Clean 02","wait"
"LOT-A-0039","LOGIC-A-0039","2026-09-03T12:00:00.000Z","Metrology - Inspect 02","wait"
"LOT-A-0040","CIS-A-0040","2026-09-03T12:00:00.000Z","Etch - Expose 03","wait"
